non-ACP0	non-ACP0	100.000	33	0	0	1	33	1	33	2.92e-22	68.9
non-ACP0	non-ACP52	60.714	28	11	0	1	28	1	28	8.75e-11	40.0
non-ACP0	non-ACP236	26.667	15	11	0	12	26	1	15	3.4	13.9
non-ACP2	non-ACP2	100.000	34	0	0	1	34	1	34	1.26e-23	72.4
non-ACP2	non-ACP212	45.455	11	6	0	16	26	5	15	1.1	14.6
non-ACP2	non-ACP134	62.500	8	3	0	12	19	3	10	8.3	12.7
non-ACP4	non-ACP4	100.000	18	0	0	1	18	1	18	4.88e-10	37.4
non-ACP4	non-ACP222	47.059	17	8	1	2	17	4	20	0.029	17.7
non-ACP4	non-ACP28	37.500	16	10	0	2	17	15	30	0.058	16.9
non-ACP4	non-ACP28	66.667	6	2	0	12	17	27	32	2.3	13.5
non-ACP4	non-ACP220	66.667	6	2	0	12	17	27	32	2.9	13.1
non-ACP6	non-ACP6	100.000	28	0	0	1	28	1	28	2.51e-18	58.9
non-ACP6	non-ACP162	75.000	8	2	0	13	20	1	8	0.34	15.8
non-ACP6	non-ACP178	44.444	9	5	0	2	10	9	17	5.3	13.1
non-ACP8	non-ACP8	100.000	21	0	0	1	21	1	21	1.05e-12	44.3
non-ACP10	non-ACP10	100.000	34	0	0	1	34	1	34	4.97e-22	68.6
non-ACP10	non-ACP182	66.667	6	2	0	2	7	21	26	6.1	13.1
non-ACP12	non-ACP12	100.000	13	0	0	1	13	1	13	8.71e-07	28.9
non-ACP14	non-ACP14	100.000	26	0	0	1	26	1	26	1.18e-15	52.0
non-ACP16	non-ACP16	100.000	21	0	0	1	21	1	21	8.47e-12	42.0
non-ACP16	non-ACP160	87.500	16	2	0	6	21	1	16	1.08e-07	31.6
non-ACP18	non-ACP18	100.000	30	0	0	1	30	1	30	3.77e-21	65.9
non-ACP20	non-ACP20	100.000	18	0	0	1	18	1	18	6.04e-09	34.7
non-ACP20	non-ACP124	56.250	16	7	0	2	17	10	25	3.25e-04	22.7
non-ACP22	non-ACP22	100.000	37	0	0	1	37	1	37	1.67e-24	75.1
non-ACP24	non-ACP24	100.000	25	0	0	1	25	1	25	5.29e-16	52.8
non-ACP26	non-ACP26	100.000	24	0	0	1	24	1	24	8.27e-14	47.0
non-ACP28	non-ACP28	100.000	37	0	0	1	37	1	37	1.11e-24	75.5
non-ACP28	non-ACP222	69.231	26	7	1	12	36	1	26	2.93e-09	36.6
non-ACP28	non-ACP220	72.727	11	3	0	26	36	26	36	0.002	21.6
non-ACP28	non-ACP236	34.483	29	17	1	9	35	5	33	0.003	21.6
non-ACP28	non-ACP4	37.500	16	10	0	15	30	2	17	0.12	16.9
non-ACP28	non-ACP4	66.667	6	2	0	27	32	12	17	4.7	13.5
non-ACP28	non-ACP132	24.000	25	19	0	3	27	4	28	4.6	13.5
non-ACP28	non-ACP36	40.000	10	6	0	11	20	19	28	4.6	13.5
non-ACP30	non-ACP30	100.000	24	0	0	1	24	1	24	7.12e-16	52.4
non-ACP30	non-ACP222	64.286	14	5	0	11	24	4	17	5.65e-05	25.0
non-ACP30	non-ACP186	40.000	10	6	0	11	20	5	14	0.28	15.4
non-ACP30	non-ACP236	43.478	23	10	2	5	24	3	25	1.0	14.2
non-ACP32	non-ACP32	100.000	13	0	0	1	13	1	13	7.82e-06	26.2
non-ACP34	non-ACP34	100.000	20	0	0	1	20	1	20	4.37e-11	40.0
non-ACP36	non-ACP36	100.000	38	0	0	1	38	1	38	4.11e-25	76.6
non-ACP36	non-ACP98	91.667	12	1	0	10	21	1	12	2.38e-05	26.6
non-ACP36	non-ACP182	50.000	10	5	0	29	38	11	20	1.1	15.0
non-ACP36	non-ACP28	40.000	10	6	0	19	28	11	20	4.8	13.5
non-ACP38	non-ACP38	100.000	34	0	0	1	34	1	34	8.46e-19	60.5
non-ACP40	non-ACP40	100.000	13	0	0	1	13	1	13	5.42e-05	24.3
non-ACP42	non-ACP42	100.000	19	0	0	1	19	1	19	7.77e-11	39.3
non-ACP44	non-ACP44	100.000	33	0	0	1	33	1	33	3.51e-18	58.9
non-ACP44	non-ACP82	71.429	7	2	0	12	18	3	9	1.7	14.2
non-ACP46	non-ACP46	100.000	13	0	0	1	13	1	13	4.90e-07	29.3
non-ACP48	non-ACP48	100.000	34	0	0	1	34	1	34	6.76e-22	68.2
non-ACP50	non-ACP50	100.000	18	0	0	1	18	1	18	9.45e-11	39.3
non-ACP52	non-ACP52	100.000	28	0	0	1	28	1	28	3.18e-17	55.8
non-ACP52	non-ACP0	60.714	28	11	0	1	28	1	28	7.42e-11	40.0
non-ACP52	non-ACP22	62.500	8	3	0	7	14	17	24	9.8	12.3
non-ACP54	non-ACP54	100.000	17	0	0	1	17	1	17	1.49e-09	36.2
non-ACP56	non-ACP56	100.000	13	0	0	1	13	1	13	3.33e-06	27.3
non-ACP58	non-ACP58	100.000	30	0	0	1	30	1	30	4.62e-20	63.2
non-ACP58	non-ACP224	44.444	9	5	0	10	18	16	24	0.34	15.8
non-ACP60	non-ACP60	100.000	16	0	0	1	16	1	16	1.37e-06	28.5
non-ACP62	non-ACP62	100.000	23	0	0	1	23	1	23	1.14e-11	41.6
non-ACP62	non-ACP164	33.333	9	6	0	15	23	18	26	8.2	12.3
non-ACP64	non-ACP64	100.000	24	0	0	1	24	1	24	2.78e-15	50.8
non-ACP66	non-ACP66	100.000	37	0	0	1	37	1	37	6.27e-23	70.9
non-ACP66	non-ACP118	54.545	11	5	0	12	22	2	12	0.83	15.0
non-ACP68	non-ACP68	100.000	24	0	0	1	24	1	24	5.87e-15	50.1
non-ACP70	non-ACP70	100.000	19	0	0	1	19	1	19	8.77e-11	39.3
non-ACP72	non-ACP72	100.000	37	0	0	1	37	1	37	3.66e-21	66.6
non-ACP72	non-ACP188	42.857	14	8	0	2	15	1	14	0.59	15.4
non-ACP72	non-ACP128	44.444	9	5	0	8	16	1	9	7.5	13.1
non-ACP74	non-ACP74	100.000	24	0	0	1	24	1	24	9.20e-15	49.7
non-ACP76	non-ACP76	100.000	17	0	0	1	17	1	17	3.01e-08	32.7
non-ACP78	non-ACP78	100.000	7	0	0	11	17	11	17	0.053	16.5
non-ACP78	non-ACP200	50.000	12	6	0	2	13	1	12	0.77	14.2
non-ACP80	non-ACP80	100.000	21	0	0	1	21	1	21	1.34e-12	43.9
non-ACP82	non-ACP82	100.000	10	0	0	1	10	1	10	4.81e-04	22.3
non-ACP84	non-ACP84	100.000	20	0	0	1	20	1	20	2.85e-12	43.1
non-ACP86	non-ACP86	100.000	33	0	0	1	33	1	33	5.16e-22	68.6
non-ACP86	non-ACP202	38.462	13	8	0	14	26	15	27	2.4	13.9
non-ACP86	non-ACP146	50.000	8	4	0	17	24	4	11	4.5	13.5
non-ACP86	non-ACP152	71.429	7	2	0	15	21	5	11	5.7	13.1
non-ACP88	non-ACP88	100.000	27	0	0	1	27	1	27	3.00e-17	55.8
non-ACP88	non-ACP188	40.000	10	6	0	2	11	20	29	8.6	12.7
non-ACP90	non-ACP90	100.000	26	0	0	1	26	1	26	4.24e-16	53.1
non-ACP90	non-ACP214	77.778	9	2	0	2	10	6	14	0.014	18.9
non-ACP92	non-ACP92	100.000	20	0	0	1	20	1	20	6.00e-12	42.4
non-ACP94	non-ACP94	100.000	12	0	0	1	12	1	12	2.49e-06	27.7
non-ACP94	non-ACP176	55.556	9	4	0	1	9	13	21	0.50	14.2
non-ACP96	non-ACP96	100.000	14	0	0	1	14	1	14	3.99e-08	32.3
non-ACP98	non-ACP98	100.000	25	0	0	1	25	1	25	1.67e-16	53.9
non-ACP98	non-ACP36	91.667	12	1	0	1	12	10	21	1.56e-05	26.6
non-ACP98	non-ACP206	55.556	18	8	0	6	23	1	18	0.001	21.6
non-ACP98	non-ACP146	80.000	5	1	0	18	22	11	15	4.7	13.1
non-ACP100	non-ACP100	100.000	17	0	0	1	17	1	17	8.65e-09	33.9
non-ACP100	non-ACP122	75.000	8	2	0	1	8	6	13	0.14	15.4
non-ACP102	non-ACP102	100.000	13	0	0	1	13	1	13	5.07e-07	29.3
non-ACP104	non-ACP104	100.000	13	0	0	1	13	1	13	7.57e-07	28.9
non-ACP106	non-ACP106	100.000	13	0	0	1	13	1	13	1.29e-06	28.5
non-ACP108	non-ACP108	100.000	34	0	0	1	34	1	34	1.85e-20	64.7
non-ACP108	non-ACP188	53.333	15	7	0	14	28	17	31	0.043	18.1
non-ACP108	non-ACP220	30.435	23	15	1	4	25	10	32	0.25	16.2
non-ACP108	non-ACP222	56.250	16	6	1	10	25	6	20	1.0	15.0
non-ACP108	non-ACP206	71.429	7	2	0	13	19	13	19	1.0	14.6
non-ACP108	non-ACP4	85.714	7	1	0	20	26	12	18	1.1	14.6
non-ACP108	non-ACP176	66.667	9	3	0	23	31	11	19	2.2	14.2
non-ACP108	non-ACP38	55.556	9	4	0	20	28	18	26	2.9	13.9
non-ACP108	non-ACP28	80.000	5	1	0	21	25	26	30	9.4	12.7
non-ACP110	non-ACP110	100.000	34	0	0	1	34	1	34	3.42e-22	68.9
non-ACP110	non-ACP222	54.545	11	5	0	12	22	9	19	1.6	14.6
non-ACP112	non-ACP112	100.000	27	0	0	1	27	1	27	6.67e-18	57.8
non-ACP112	non-ACP118	72.727	22	6	0	6	27	1	22	6.16e-10	37.4
non-ACP112	non-ACP146	33.333	15	10	0	12	26	3	17	0.43	15.0
non-ACP112	non-ACP188	100.000	5	0	0	20	24	19	23	0.94	14.6
non-ACP112	non-ACP116	42.857	14	8	0	13	26	1	14	1.7	14.2
non-ACP114	non-ACP114	100.000	23	0	0	1	23	1	23	1.15e-13	46.6
non-ACP114	non-ACP190	58.824	17	7	0	7	23	1	17	7.79e-04	21.9
non-ACP114	non-ACP138	71.429	7	2	0	10	16	11	17	0.58	14.6
non-ACP116	non-ACP116	100.000	30	0	0	1	30	1	30	4.80e-19	60.8
non-ACP116	non-ACP236	55.556	9	4	0	3	11	22	30	0.17	16.5
non-ACP116	non-ACP112	42.857	14	8	0	1	14	13	26	1.9	14.2
non-ACP118	non-ACP118	100.000	23	0	0	1	23	1	23	5.04e-15	50.1
non-ACP118	non-ACP112	72.727	22	6	0	1	22	6	27	5.25e-10	37.4
non-ACP118	non-ACP188	54.545	11	5	0	12	22	16	26	0.14	16.2
non-ACP118	non-ACP146	33.333	15	10	0	7	21	3	17	1.3	14.2
non-ACP118	non-ACP116	80.000	5	1	0	16	20	9	13	8.7	12.3
non-ACP120	non-ACP120	100.000	24	0	0	1	24	1	24	1.01e-15	52.0
non-ACP122	non-ACP122	100.000	13	0	0	1	13	1	13	4.32e-06	26.9
non-ACP122	non-ACP100	75.000	8	2	0	6	13	1	8	0.11	15.4
non-ACP124	non-ACP124	100.000	29	0	0	1	29	1	29	1.50e-18	59.3
non-ACP126	non-ACP126	100.000	36	0	0	1	36	1	36	6.80e-25	75.9
non-ACP126	non-ACP228	44.444	9	5	0	13	21	24	32	5.4	13.5
non-ACP128	non-ACP128	100.000	30	0	0	1	30	1	30	1.40e-17	57.0
non-ACP130	non-ACP130	100.000	24	0	0	1	24	1	24	6.99e-15	49.7
non-ACP132	non-ACP132	100.000	35	0	0	1	35	1	35	6.40e-23	70.9
non-ACP132	non-ACP236	73.077	26	7	0	10	35	1	26	2.35e-11	41.6
non-ACP132	non-ACP222	37.500	16	10	0	13	28	2	17	0.73	15.0
non-ACP132	non-ACP28	24.000	25	19	0	4	28	3	27	4.4	13.5
non-ACP132	non-ACP156	42.857	7	4	0	10	16	1	7	5.6	13.1
non-ACP132	non-ACP200	44.444	9	5	0	14	22	8	16	6.6	13.1
non-ACP134	non-ACP134	100.000	13	0	0	1	13	1	13	8.43e-07	28.9
non-ACP134	non-ACP2	62.500	8	3	0	3	10	12	19	3.2	12.7
non-ACP136	non-ACP136	100.000	26	0	0	1	26	1	26	2.01e-16	53.9
non-ACP136	non-ACP168	31.250	16	11	0	3	18	17	32	0.063	17.3
non-ACP136	non-ACP138	33.333	15	10	0	9	23	10	24	0.44	15.0
non-ACP138	non-ACP138	100.000	27	0	0	1	27	1	27	1.12e-16	54.7
non-ACP138	non-ACP222	55.556	9	4	0	15	23	8	16	0.36	15.4
non-ACP138	non-ACP136	33.333	15	10	0	10	24	9	23	0.46	15.0
non-ACP138	non-ACP114	71.429	7	2	0	11	17	10	16	0.69	14.6
non-ACP140	non-ACP140	100.000	21	0	0	1	21	1	21	1.01e-11	41.6
non-ACP142	non-ACP142	100.000	17	0	0	1	17	1	17	2.41e-09	35.4
non-ACP144	non-ACP144	100.000	15	0	0	1	15	1	15	9.60e-09	33.9
non-ACP146	non-ACP146	100.000	17	0	0	1	17	1	17	2.09e-09	35.8
non-ACP146	non-ACP112	33.333	15	10	0	3	17	12	26	0.27	15.0
non-ACP146	non-ACP118	33.333	15	10	0	3	17	7	21	0.99	14.2
non-ACP146	non-ACP86	50.000	8	4	0	4	11	17	24	2.3	13.5
non-ACP146	non-ACP98	80.000	5	1	0	11	15	18	22	3.2	13.1
non-ACP148	non-ACP148	100.000	28	0	0	1	28	1	28	5.76e-19	60.5
non-ACP148	non-ACP216	64.286	14	5	0	1	14	5	18	8.85e-04	21.9
non-ACP150	non-ACP150	100.000	39	0	0	1	39	1	39	8.85e-27	80.9
non-ACP150	non-ACP154	100.000	5	0	0	22	26	8	12	1.4	14.6
non-ACP150	non-ACP206	62.500	8	3	0	2	9	13	20	1.6	14.6
non-ACP152	non-ACP152	100.000	18	0	0	1	18	1	18	1.63e-10	38.5
non-ACP152	non-ACP86	71.429	7	2	0	5	11	15	21	3.1	13.1
non-ACP154	non-ACP154	100.000	21	0	0	1	21	1	21	2.64e-14	48.1
non-ACP154	non-ACP190	42.857	14	8	0	8	21	10	23	0.100	16.5
non-ACP154	non-ACP150	100.000	5	0	0	8	12	22	26	0.75	14.6
non-ACP156	non-ACP156	100.000	16	0	0	1	16	1	16	1.25e-09	36.2
non-ACP156	non-ACP132	42.857	7	4	0	1	7	10	16	2.5	13.1
non-ACP158	non-ACP158	100.000	38	0	0	1	38	1	38	1.08e-24	75.5
non-ACP158	non-ACP198	71.429	14	4	0	1	14	15	28	1.99e-04	24.3
non-ACP160	non-ACP160	100.000	32	0	0	1	32	1	32	2.16e-20	64.3
non-ACP160	non-ACP16	87.500	16	2	0	1	16	6	21	1.65e-07	31.6
non-ACP162	non-ACP162	100.000	37	0	0	1	37	1	37	3.46e-25	76.6
non-ACP162	non-ACP6	75.000	8	2	0	1	8	13	20	0.45	15.8
non-ACP164	non-ACP164	100.000	35	0	0	1	35	1	35	4.91e-23	71.2
non-ACP166	non-ACP166	100.000	21	0	0	1	21	1	21	5.01e-12	42.4
non-ACP168	non-ACP168	100.000	36	0	0	1	36	1	36	2.87e-26	79.3
non-ACP168	non-ACP136	31.250	16	11	0	17	32	3	18	0.087	17.3
non-ACP170	non-ACP170	100.000	25	0	0	1	25	1	25	2.84e-15	50.8
non-ACP172	non-ACP172	100.000	23	0	0	1	23	1	23	1.97e-13	46.2
non-ACP174	non-ACP174	100.000	19	0	0	1	19	1	19	1.05e-09	36.6
non-ACP176	non-ACP176	100.000	28	0	0	1	28	1	28	1.46e-17	57.0
non-ACP176	non-ACP94	55.556	9	4	0	13	21	1	9	1.2	14.2
non-ACP178	non-ACP178	100.000	18	0	0	1	18	1	18	5.18e-11	39.7
non-ACP178	non-ACP6	44.444	9	5	0	9	17	2	10	3.4	13.1
non-ACP180	non-ACP180	100.000	26	0	0	1	26	1	26	1.29e-14	49.3
non-ACP182	non-ACP182	100.000	37	0	0	1	37	1	37	3.15e-26	79.3
non-ACP182	non-ACP36	50.000	10	5	0	11	20	29	38	1.1	15.0
non-ACP182	non-ACP10	66.667	6	2	0	21	26	2	7	6.6	13.1
non-ACP184	non-ACP184	100.000	20	0	0	1	20	1	20	3.42e-10	37.7
non-ACP186	non-ACP186	100.000	30	0	0	1	30	1	30	2.16e-18	58.9
non-ACP186	non-ACP222	86.207	29	4	0	2	30	1	29	3.36e-16	53.5
non-ACP186	non-ACP28	59.259	27	10	1	1	27	11	36	4.40e-08	33.1
non-ACP186	non-ACP30	57.143	14	6	0	5	18	11	24	1.31e-04	24.3
non-ACP186	non-ACP220	66.667	12	4	0	17	28	26	37	7.70e-04	22.3
non-ACP186	non-ACP4	41.176	17	9	1	5	21	2	17	0.040	17.7
non-ACP186	non-ACP236	53.846	13	6	0	14	26	21	33	0.17	16.5
non-ACP186	non-ACP138	55.556	9	4	0	9	17	15	23	0.30	15.8
non-ACP186	non-ACP132	31.250	16	11	0	3	18	13	28	1.9	14.2
non-ACP186	non-ACP110	40.000	20	11	1	10	29	12	30	3.7	13.5
non-ACP188	non-ACP188	100.000	31	0	0	1	31	1	31	3.04e-19	61.2
non-ACP188	non-ACP118	54.545	11	5	0	16	26	12	22	0.19	16.2
non-ACP188	non-ACP72	45.455	11	6	0	1	11	2	12	0.82	15.0
non-ACP188	non-ACP112	100.000	5	0	0	19	23	20	24	1.1	14.6
non-ACP188	non-ACP88	40.000	10	6	0	20	29	2	11	9.9	12.7
non-ACP190	non-ACP190	100.000	32	0	0	1	32	1	32	2.18e-20	64.3
non-ACP190	non-ACP114	58.824	17	7	0	1	17	7	23	0.001	21.9
non-ACP190	non-ACP154	42.857	14	8	0	10	23	8	21	0.15	16.5
non-ACP192	non-ACP192	100.000	30	0	0	1	30	1	30	1.90e-18	59.3
non-ACP194	non-ACP194	100.000	16	0	0	1	16	1	16	3.13e-10	37.7
non-ACP196	non-ACP196	100.000	24	0	0	1	24	1	24	6.33e-15	50.1
non-ACP198	non-ACP198	100.000	28	0	0	1	28	1	28	1.51e-18	59.3
non-ACP198	non-ACP158	71.429	14	4	0	15	28	1	14	1.47e-04	24.3
non-ACP200	non-ACP200	100.000	34	0	0	1	34	1	34	1.25e-21	67.4
non-ACP200	non-ACP178	38.462	13	8	0	21	33	4	16	0.23	16.2
non-ACP200	non-ACP132	35.714	14	9	0	8	21	14	27	0.84	15.0
non-ACP200	non-ACP96	50.000	10	5	0	24	33	1	10	8.6	12.7
non-ACP202	non-ACP202	100.000	28	0	0	1	28	1	28	4.49e-18	58.2
non-ACP202	non-ACP86	38.462	13	8	0	15	27	14	26	2.0	13.9
non-ACP204	non-ACP204	100.000	19	0	0	1	19	1	19	6.45e-11	39.7
non-ACP206	non-ACP206	100.000	25	0	0	1	25	1	25	4.34e-16	53.1
non-ACP206	non-ACP98	55.556	18	8	0	1	18	6	23	0.001	21.6
non-ACP206	non-ACP150	62.500	8	3	0	13	20	2	9	1.0	14.6
non-ACP206	non-ACP220	57.143	7	3	0	11	17	21	27	5.4	13.1
non-ACP208	non-ACP208	100.000	23	0	0	1	23	1	23	7.43e-14	47.4
non-ACP210	non-ACP210	100.000	33	0	0	1	33	1	33	3.25e-18	58.9
non-ACP210	non-ACP24	43.478	23	12	1	9	31	4	25	5.9	13.1
non-ACP210	non-ACP178	44.444	9	5	0	2	10	4	12	6.5	13.1
non-ACP212	non-ACP212	100.000	21	0	0	1	21	1	21	2.08e-12	43.5
non-ACP212	non-ACP2	45.455	11	6	0	5	15	16	26	0.65	14.6
non-ACP214	non-ACP214	100.000	14	0	0	1	14	1	14	6.72e-08	31.6
non-ACP214	non-ACP90	77.778	9	2	0	6	14	2	10	0.007	18.9
non-ACP216	non-ACP216	100.000	18	0	0	1	18	1	18	3.08e-10	37.7
non-ACP216	non-ACP148	64.286	14	5	0	5	18	1	14	5.69e-04	21.9
non-ACP218	non-ACP218	100.000	29	0	0	1	29	1	29	3.05e-17	56.2
non-ACP220	non-ACP220	100.000	39	0	0	1	39	1	39	6.16e-25	76.3
non-ACP220	non-ACP222	64.286	14	5	0	26	39	16	29	1.50e-04	24.6
non-ACP220	non-ACP28	34.375	32	20	1	5	36	6	36	3.59e-04	23.9
non-ACP220	non-ACP236	60.000	10	4	0	26	35	24	33	3.0	13.9
non-ACP220	non-ACP4	66.667	6	2	0	27	32	12	17	4.0	13.5
non-ACP220	non-ACP206	57.143	7	3	0	21	27	11	17	5.5	13.5
non-ACP222	non-ACP222	100.000	34	0	0	1	34	1	34	1.90e-21	67.0
non-ACP222	non-ACP28	69.231	26	7	1	1	26	12	36	2.70e-09	36.6
non-ACP222	non-ACP186	86.207	29	4	0	1	29	2	30	4.61e-07	30.8
non-ACP222	non-ACP30	64.286	14	5	0	4	17	11	24	8.00e-05	25.0
non-ACP222	non-ACP220	64.286	14	5	0	16	29	26	39	1.40e-04	24.6
non-ACP222	non-ACP4	47.059	17	8	1	4	20	2	17	0.056	17.7
non-ACP222	non-ACP236	53.846	13	6	0	13	25	21	33	0.25	16.2
non-ACP222	non-ACP138	55.556	9	4	0	8	16	15	23	0.46	15.4
non-ACP222	non-ACP132	37.500	16	10	0	2	17	13	28	0.71	15.0
non-ACP222	non-ACP110	54.545	11	5	0	9	19	12	22	1.6	14.6
non-ACP224	non-ACP224	100.000	38	0	0	1	38	1	38	7.28e-25	75.9
non-ACP224	non-ACP58	33.333	15	10	0	16	30	10	24	0.085	17.7
non-ACP226	non-ACP226	100.000	24	0	0	1	24	1	24	1.75e-15	51.2
non-ACP228	non-ACP228	100.000	37	0	0	1	37	1	37	3.02e-24	74.3
non-ACP228	non-ACP126	44.444	9	5	0	24	32	13	21	5.6	13.5
non-ACP230	non-ACP230	100.000	14	0	0	1	14	1	14	1.69e-08	33.1
non-ACP232	non-ACP232	100.000	21	0	0	1	21	1	21	5.05e-14	47.4
non-ACP234	non-ACP234	100.000	33	0	0	1	33	1	33	1.82e-22	69.7
non-ACP236	non-ACP236	100.000	33	0	0	1	33	1	33	7.79e-21	65.5
non-ACP236	non-ACP132	73.077	26	7	0	1	26	10	35	2.21e-11	41.6
non-ACP236	non-ACP28	34.483	29	17	1	5	33	9	35	0.002	21.6
non-ACP236	non-ACP116	55.556	9	4	0	22	30	3	11	0.18	16.5
non-ACP236	non-ACP222	53.846	13	6	0	21	33	13	25	0.24	16.2
non-ACP236	non-ACP30	43.478	23	10	2	3	25	5	24	1.4	14.2
non-ACP236	non-ACP220	60.000	10	4	0	24	33	26	35	2.6	13.9
non-ACP236	non-ACP0	26.667	15	11	0	1	15	12	26	3.4	13.9
