a1	a2	a3	a4	class
0.745792458	0.426207561	0.191600108	0.288065693	1
0.119121966	0.115445564	0.495149009	0.819996523	1
0.628359245	0.368612085	0.313798062	0.969106796	1
0.573629151	0.360519016	0.999051405	0.936534337	1
0.462045131	0.172713201	0.761584018	0.242427539	1
0.154977302	0.425989857	0.780108849	0.052249918	1
0.527507264	0.1866903	0.65345531	0.802989578	1
0.42858627	0.122042111	0.633510759	0.087143255	1
0.047182285	0.421388314	0.50932383	0.763195243	1
0.629380952	0.001340805	0.739114882	0.269308244	1
0.987061141	0.799254738	0.901687538	0.656436273	1
0.936583739	0.338280342	0.727834801	0.845588744	1
0.347702759	0.218512242	0.393355121	0.282700471	1
0.708462562	0.182322916	0.075067056	0.154535304	1
0.031962605	0.834054969	0.443203056	0.605506742	1
0.2516154	0.568625642	0.479204872	0.304473254	1
0.246588214	0.187047247	0.897110788	0.840227568	1
0.427269514	0.479435526	0.258422749	0.222123443	1
0.215754123	0.525950577	0.713890537	0.495648492	1
0.932152954	0.654948255	0.372893902	0.615501753	1
0.351689916	0.827839095	0.522944351	0.465154497	1
0.925330411	0.508964286	0.095589132	0.613712774	1
0.137614409	0.629087037	0.935689928	0.623991869	1
0.813491704	0.000703575	0.783167918	0.487037841	1
0.104226142	0.537824923	0.933278727	0.166183696	1
0.073337192	0.992133313	0.509472962	0.682740497	1
0.627707404	0.898613103	0.156591863	0.622261299	1
0.329486305	0.375591222	0.304682326	0.655848013	1
0.110486992	0.290530143	0.255124855	0.634990919	1
0.275291949	0.194459685	0.268426044	0.654473063	1
0.233220328	0.112029917	0.37078748	0.97166323	1
0.314451122	0.330636273	0.269023487	0.763284737	1
0.265847428	0.387065472	0.726600643	0.252219697	0
0.718298601	0.077158255	0.645813253	0.816329572	0
0.563730113	0.136047824	0.100768505	0.303031644	0
0.617958575	0.164905989	0.453431563	0.524422925	0
0.41354011	0.52473961	0.475084025	0.303107265	0
0.749124381	0.256872706	0.748359338	0.273619791	0
0.200751294	0.507869993	0.793013918	0.473557793	0
0.934313271	0.303966375	0.496018676	0.745939867	0
0.629065837	0.646175022	0.264800345	0.345616452	0
0.999201791	0.938164784	0.075450582	0.751293085	0
0.811345997	0.773959459	0.537977267	0.887780069	0
0.73014887	0.116153796	0.401779181	0.142750864	0
0.316412809	0.296641249	0.194923333	0.322812736	0
0.253321305	0.029505926	0.310074166	0.286275081	0
0.460931324	0.832313386	0.288878672	0.961118285	0
0.194660478	0.338456528	0.436292712	0.707946655	0
0.250323815	0.933766443	0.567800781	0.959303871	0
0.763434212	0.741054541	0.393553006	0.108639289	0
0.398799228	0.138088511	0.520065954	0.337864127	0
0.847964754	0.707585579	0.642158169	0.721410466	0
0.197856057	0.557585425	0.242178782	0.031067095	0
0.789156701	0.724817308	0.212905518	0.732229439	0
0.653062916	0.69802324	0.371087721	0.812521686	0
0.557018058	0.015417778	0.924425312	0.564992609	0
0.683917228	0.812967346	0.805218325	0.090445976	0
0.729215824	0.833920507	0.813483127	0.466212765	0
0.50703016	0.847820014	0.535951261	0.403414609	0
0.348196848	0.26612654	0.750863407	0.059600228	0
0.407955259	0.646822128	0.392778611	0.302086428	0
0.289155332	0.514212572	0.085230166	0.577059459	0
0.377874943	0.847679317	0.069163608	0.659379352	0
0.527784036	0.254340122	0.24564507	0.908387221	0
0.027649153	0.447877978	0.371266887	0.029255723	0
0.412234776	0.901050259	0.198930689	0.204383864	0
0.569414154	0.86027195	0.902993862	0.501390688	0
0.324914112	0.787037736	0.424599591	0.395829461	0
0.407819893	0.719264806	0.433071452	0.737237946	0
0.091298897	0.927128733	0.192649268	0.112098422	0
0.57504123	0.445446712	0.30430986	0.152065004	0
0.459055526	0.602212713	0.151279006	0.744378521	0
0.570342853	0.515984429	0.962524652	0.19038725	0
0.186271297	0.104734179	0.679665446	0.493099388	0
0.748179324	0.806386584	0.966129179	0.387296795	0
0.729128384	0.700093071	0.75306467	0.468428144	0
0.492939177	0.211289765	0.21074853	0.296695896	0
0.303888489	0.147228407	0.70225464	0.57834747	0
0.391140606	0.16050698	0.891988824	0.061349839	0
0.889854415	0.870810995	0.606592978	0.371103099	0
0.461984382	0.802335854	0.838415011	0.615008345	0
0.619363394	0.588129184	0.423175859	0.087722334	0
0.076430947	0.284047639	0.405098389	0.8873916	0
0.16555821	0.549779996	0.948540209	0.824057146	0
0.406911869	0.438514051	0.342765161	0.559194539	0
0.249951701	0.82535038	0.370739859	0.488756257	0
0.637222565	0.386786928	0.344638168	0.251815984	0
0.019156959	0.84704296	0.335567032	0.154780918	0
0.075609858	0.51431985	0.727246432	0.332902805	0
0.164804993	0.603896979	0.850516901	0.962002993	0
0.84525116	0.680175976	0.962583938	0.217200155	0
0.156883055	0.385392566	0.109759872	0.511795968	0
0.609111546	0.56041133	0.547987611	0.1618788	0
0.206992974	0.193940874	0.70473968	0.004751317	0
0.797979642	0.412089356	0.31248546	0.502674138	0
0.268159011	0.34412433	0.578408647	0.753535127	0
0.552779187	0.758828624	0.323890867	0.875579518	0
0.861723718	0.388827759	0.710670276	0.960584853	0
0.237325063	0.110749999	0.275516594	0.655295659	0
0.055801154	0.271174213	0.123738447	0.573208337	0